File,Profile1,Profile2,Profile3,Profile4,Profile5,Profile6,Profile7,Profile8
Frontier V6 stock OEM-CS14050871.R-net,55,55,55,55,55,55,55,55
Sept-2017-V6-120-FINAL-no-ESP.R-net,55,55,55,55,55,55,55,55
Frontier V6 stock OEM-MOD CS14050871.R-net,55,55,55,55,55,55,55,55
2021-backup-90amp-CS14050871.R-net,100,100,100,100,100,100,100,100
v6 120 mod-4-test OEM CR14121385.R-net,55,55,55,55,55,55,55,55
Sept-2017-V6-120-FINAL-no-ESP-2.R-net,55,55,55,55,55,55,55,55
v6 120 mod-2 OEM CR14121385.R-net,55,55,55,55,55,55,55,55
v6 120 mod OEM CR14121385.R-net,55,55,55,55,55,55,55,55
v6 120 mod-3 OEM CR14121385.R-net,55,55,55,55,55,55,55,55
oem-CR16125104.R-net,100,100,100,100,100,100,100,100
OEM-MOD-CS13124566.R-net,0,224,2,0,1,4,0,1
OEM-CS13124566.R-net,0,255,0,0,0,0,0,3
3-2022-OEM-MOD-CR17122192.R-net,100,100,100,100,100,100,100,100
C-500-black-OEM-CS13093419-mod-120amp-2.R-net,55,55,55,55,55,55,55,55
C-500-black-OEM-CS13093419.R-net,55,55,55,55,55,55,55,55
C-500-black-OEM-CS13093419-mod-120amp.R-net,55,55,55,55,55,55,55,55
CR15070953-OEM-jan-2019.R-net,100,100,100,100,100,100,100,100
C-500-black-OEM-CS13093419-mod.R-net,55,55,55,55,55,55,55,55
CR15070953-OEM-jan-2019-brakes-mod.R-net,100,100,100,100,100,100,100,100
CR14060137-OEM.R-net,100,100,100,100,100,100,100,100
CR14060137-OEM-MOD.R-net,100,100,100,100,100,100,100,100
flag chair backup 2017.R-net,0,0,0,0,0,0,0,255
flag-2017-jacobCS13061526.R-net,100,100,100,100,100,100,100,100
flag-2017-jacob-2-CS13061526.R-net,100,100,100,100,100,100,100,100
CS21054090-OEM_mod_first.R-net,0,200,8,100,1,120,100,4
